num_client_procs,num_warmup_clients_per_proc,num_clients_per_proc,jvm_heap_size,measurement_group_size,warmup_duration,warmup_timeout,warmup_sleep,duration,timeout,client_lag,state_machine,workload.num_keys,workload.size_mean,workload.size_std,workload.name,profiled,monitored,prometheus_scrape_interval,client_log_level,server_options.flush_every_n,server_log_level,latency.mean_ms,latency.median_ms,latency.min_ms,latency.max_ms,latency.p90_ms,latency.p95_ms,latency.p99_ms,start_throughput_1s.mean,start_throughput_1s.median,start_throughput_1s.min,start_throughput_1s.max,start_throughput_1s.p90,start_throughput_1s.p95,start_throughput_1s.p99
1,1,1,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,1,info,0.3787211426018129,0.375239,0.088015,1.362976,0.6717090000000001,0.8070839999999999,1.02220324,6146.433764135702,4420.0,3950.0,13900.0,11480.0,13040.0,13680.0
1,10,10,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,1,info,0.1459308453651063,0.1387915,0.088207,7.198563,0.170804,0.1854229,0.25111737000000006,72789.10649160485,73570.0,59120.0,80130.0,77850.0,79180.49999999988,79850.0
1,50,50,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,0.38383539083310925,0.35947,0.23153,7.565837,0.470482,0.53451,1.2885237999999986,124438.94808244344,122400.0,80410.0,149670.0,145470.0,146710.0,148770.0
1,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,0.5020838421128554,0.483662,0.257616,10.293342,0.618408,0.6635275,0.8197738999999995,155790.73138509504,161940.0,119130.0,177450.0,172380.0,174840.0,177140.0
2,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,0.6939609049369736,0.668596,0.265812,9.172232,0.946275,1.0519555,1.3471994999999999,204743.87961888296,226560.0,84580.0,269900.0,265000.0,268340.0,269500.0
3,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,1.0145952209042695,0.974331,0.268303,7.426136,1.5695236000000001,1.826285699999999,2.655201139999999,215023.02202267002,223940.0,142290.0,271950.0,239730.0,266970.0,271540.0
4,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,1.3011219154873719,1.274106,0.254381,11.144179,2.097635,2.433580599999999,2.6152937800000005,229773.53879534215,243750.0,116360.0,275300.0,271690.0,272960.0,274810.0
5,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,1.6317609581380077,1.7542149999999999,0.247918,8.479318,2.4226173000000006,3.106625099999999,3.3159493600000003,227532.2237142809,242450.0,134730.0,271980.0,263660.0,267150.0,271630.0
6,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,1.960968134394863,2.204421,0.259145,11.452806,2.6126272,3.663537999999999,3.8980695200000004,226962.45485021963,244660.0,154783.0,258730.0,251620.0,252640.0,255850.0
7,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,2.341748518648249,2.689972,0.250613,13.557674,2.9163115,3.9660595,4.1655835,227090.11858838695,239470.0,131160.0,297570.0,287170.0,296970.0,297240.0
8,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,2.524623463660857,2.835135,0.247119,11.677625,3.2534638000000005,4.7896494999999994,5.219971300000002,239496.41807391148,261270.0,140780.0,283050.0,272870.0,275310.0,282360.0
11,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,3.6167961203799828,3.966216,0.257153,14.613351,5.077569,6.668895099999999,8.277223839999994,232145.50336724726,246260.0,150410.0,268040.0,264520.0,267530.0,267790.0
14,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,4.730845120114542,5.23892,0.25929,17.847233,6.2982116,9.6056834,9.95445068,227683.3761679092,243050.0,142770.0,262560.0,261140.0,262030.0,262280.0
